Site: Hastings 2023,,,,,,,,,,
Transect,Seg No.,Sequence,Tray,Row,Positions 1-5 (left),,Positions 6-10 (right),,Seg. Latidude,Seg. Longitude
1,1,1,Tray 1,1,G2,HR_027,G1,HR_10,,
1,2,2,,2,G1,HR_51,G2,HR_044,,
1,3,3,,3,G2,HR_178,G2,HR_108,,
1,4,4,,4,G1,HR_36,G2,HR_121,,
1,5,5,,5,G1,HR_162,G1,HR_134,,
1,6,6,,6,G2,HR_041,G2,HR_124,,
1,7,7,,7,G1,HR_162,G1,HR_179,,
1,8,8,,8,G1,HR_196,G1,HR_5,,
1,9,9,,9,G1,HR_95,G2,HR_196,,
1,10,10,,10,G1,HR_19,G2,HR_111,,
1,11,11,,11,G1,HR_47,G1,HR_95,,
1,12,12,,12,G1,HR_111,G1,HR_42,,
1,13,13,,13,G2,HR_086,G2,HR_111,,
1,14,14,,14,G2,HR_174,G1,HR_105,,
1,15,15,,15,G2,HR_044,G2,HR_107,,
1,16,16,,16,G1,HR_104,G2,HR_012,,
1,17,17,,17,G2,HR_156,G2,HR_050,,
1,18,18,,18,G1,HR_71,G1,HR_137,,
1,19,19,,19,G2,HR_110,G1,HR_87,,
1,20,20,,20,G1,HR_47,G2,HR_070,,
1,21,21,,21,G1,HR_177,G2,HR_061,,
1,22,22,Tray 2,1,G1,HR_47,G1,HR_58,,
1,23,23,,2,G2,HR_169,G2,HR_032,,
1,24,24,,3,G2,HR_080,G2,HR_121,,
1,25,25,,4,G2,HR_118,G2,HR_020,,
1,26,26,,5,G1,HR_135,G2,HR_062,,
1,27,27,,6,G1,HR_111,G1,HR_70,,
1,28,28,,7,G1,HR_183,G2,HR_028,,
1,29,29,,8,G1,HR_136,G1,HR_131,,
1,30,30,,9,G1,HR_119,G2,HR_072,,
1,31,31,,10,G2,HR_044,G2,HR_166,,
1,32,32,,11,G1,HR_158,G1,HR_111,,
1,33,33,,12,G2,HR_179,G1,HR_178,,
1,34,34,,13,G2,HR_137,G1,HR_68,,
1,35,35,,14,G2,HR_005,G2,HR_127,,
1,36,36,,15,G2,HR_038,G2,HR_005,,
1,37,37,,16,G2,HR_109,G1,HR_147,,
1,38,38,,17,G1,HR_197,G2,HR_168,,
1,39,39,,18,G1,HR_156,G1,HR_158,,
1,40,40,,19,G1,HR_65,G1,HR_115,,
1,41,41,,20,G1,HR_70,G1,HR_33,,
1,42,42,,21,G2,HR_184,G1,HR_135,,
1,43,43,Tray 3,1,G1,HR_178,G1,HR_116,,
1,44,44,,2,G2,HR_101,G1,HR_18,,
1,45,45,,3,G2,HR_037,G1,HR_71,,
2,1,46,,4,G1,HR_59,G2,HR_139,,
2,2,47,,5,G1,HR_114,G2,HR_053,,
2,3,48,,6,G2,HR_146,G1,HR_182,,
2,4,49,,7,G1,HR_156,G2,HR_026,,
2,5,50,,8,G2,HR_152,G1,HR_9,,
2,6,51,,9,G2,HR_058,G2,HR_036,,
2,7,52,,10,G1,HR_145,G2,HR_126,,
2,8,53,,11,G2,HR_049,G1,HR_155,,
2,9,54,,12,G1,HR_169,G2,HR_179,,
2,10,55,,13,G1,HR_7,G1,HR_153,,
2,11,56,,14,G2,HR_007,G1,HR_36,,
2,12,57,,15,G1,HR_1,G1,HR_168,,
2,13,58,,16,G2,HR_034,G2,HR_088,,
2,14,59,,17,G1,HR_108,G1,HR_35,,
2,15,60,,18,G1,HR_105,G2,HR_104,,
2,16,61,,19,G1,HR_26,G2,HR_019,,
2,17,62,,20,G2,HR_028,G2,HR_168,,
2,18,63,,21,G1,HR_103,G2,HR_068,,
2,19,64,Tray 4,1,G1,HR_21,G1,HR_195,,
2,20,65,,2,G1,HR_175,G2,HR_067,,
2,21,66,,3,G2,HR_145,G2,HR_040,,
2,22,67,,4,G2,HR_068,G1,HR_153,,
2,23,68,,5,G1,HR_44,G2,HR_149,,
2,24,69,,6,G1,HR_10,G2,HR_015,,
2,25,70,,7,G2,HR_065,G1,HR_174,,
2,26,71,,8,G1,HR_65,G1,HR_175,,
2,27,72,,9,G2,HR_036,G1,HR_37,,
2,28,73,,10,G1,HR_169,G2,HR_182,,
2,29,74,,11,G2,HR_054,G1,HR_195,,
2,30,75,,12,G1,HR_17,G2,HR_073,,
2,31,76,,13,G1,HR_107,G1,HR_145,,
2,32,77,,14,G2,HR_182,G1,HR_146,,
2,33,78,,15,G2,HR_033,G1,HR_73,,
2,34,79,,16,G1,HR_71,G1,HR_43,,
2,35,80,,17,G2,HR_165,G2,HR_062,,
2,36,81,,18,G2,HR_176,G1,HR_92,,
2,37,82,,19,G1,HR_193,G2,HR_195,,
2,38,83,,20,G1,HR_166,G2,HR_173,,
2,39,84,,21,G1,HR_152,G2,HR_142,,
2,40,85,Tray 5,1,G1,HR_115,G2,HR_058,,
2,41,86,,2,G2,HR_023,G2,HR_192,,
2,42,87,,3,G2,HR_067,G1,HR_133,,
2,43,88,,4,G1,HR_67,G1,HR_38,,
2,44,89,,5,G1,HR_101,G1,HR_79,,
2,45,90,,6,G2,HR_175,G1,HR_121,,
3,1,91,,7,G1,HR_88,G2,HR_012,,
3,2,92,,8,G1,HR_193,G1,HR_11,,
3,3,93,,9,G1,HR_112,G1,HR_56,,
3,4,94,,10,G2,HR_018,G2,HR_020,,
3,5,95,,11,G2,HR_149,G1,HR_150,,
3,6,96,,12,G2,HR_134,G2,HR_165,,
3,7,97,,13,G2,HR_026,G2,HR_127,,
3,8,98,,14,G1,HR_67,G1,HR_67,,
3,9,99,,15,G2,HR_193,G1,HR_123,,
3,10,100,,16,G2,HR_006,G2,HR_066,,
3,11,101,,17,G2,HR_046,G2,HR_164,,
3,12,102,,18,G1,HR_170,G2,HR_158,,
3,13,103,,19,G2,HR_193,G2,HR_156,,
3,14,104,,20,G1,HR_49,G2,HR_065,,
3,15,105,,21,G1,HR_86,G2,HR_145,,
3,16,106,Tray 6,1,G1,HR_17,G1,HR_176,,
3,17,107,,2,G1,HR_164,G1,HR_41,,
3,18,108,,3,G2,HR_104,G2,HR_153,,
3,19,109,,4,G2,HR_190,G2,HR_155,,
3,20,110,,5,G2,HR_021,G2,HR_174,,
3,21,111,,6,G2,HR_104,G2,HR_159,,
3,22,112,,7,G1,HR_175,G2,HR_107,,
3,23,113,,8,G1,HR_149,G2,HR_053,,
3,24,114,,9,G2,HR_083,G2,HR_071,,
3,25,115,,10,G1,HR_27,G1,HR_53,,
3,26,116,,11,G1,HR_179,G1,HR_116,,
3,27,117,,12,G2,HR_039,G1,HR_6,,
3,28,118,,13,G1,HR_139,G1,HR_103,,
3,29,119,,14,G2,HR_095,G2,HR_005,,
3,30,120,,15,G2,HR_015,G2,HR_042,,
3,31,121,,16,G2,HR_190,G2,HR_079,,
3,32,122,,17,G2,HR_161,G2,HR_112,,
3,33,123,,18,G2,HR_047,G2,HR_036,,
3,34,124,,19,G2,HR_179,G1,HR_104,,
3,35,125,,20,G2,HR_201,G1,HR_164,,
3,36,126,,21,G1,HR_147,G1,HR_162,,
3,37,127,Tray 7,1,G2,HR_116,G1,HR_46,,
3,38,128,,2,G1,HR_14,G1,HR_20,,
3,39,129,,3,G1,HR_147,G1,HR_32,,
3,40,130,,4,G2,HR_173,G2,HR_119,,
3,41,131,,5,G1,HR_166,G1,HR_37,,
3,42,132,,6,G1,HR_78,G2,HR_153,,
3,43,133,,7,G2,HR_068,G2,HR_023,,
3,44,134,,8,G2,HR_026,G1,HR_142,,
3,45,135,,9,G1,HR_180,G2,HR_126,,
4,1,136,,10,G2,HR_108,G2,HR_177,,
4,2,137,,11,G1,HR_124,G1,HR_165,,
4,3,138,,12,G1,HR_19,G2,HR_123,,
4,4,139,,13,G2,HR_190,G1,HR_15,,
4,5,140,,14,G1,HR_41,G2,HR_135,,
4,6,141,,15,G1,HR_6,G1,HR_184,,
4,7,142,,16,G1,HR_17,G1,HR_141,,
4,8,143,,17,G1,HR_150,G2,HR_146,,
4,9,144,,18,G2,HR_181,G2,HR_183,,
4,10,145,,19,G1,HR_174,G1,HR_72,,
4,11,146,,20,G2,HR_137,G2,HR_056,,
4,12,147,,21,G2,HR_009,G2,HR_078,,
4,13,148,Tray 8,1,G1,HR_159,G1,HR_166,,
4,14,149,,2,G1,HR_42,G1,HR_46,,
4,15,150,,3,G2,HR_088,G1,HR_192,,
4,16,151,,4,G1,HR_142,G2,HR_170,,
4,17,152,,5,G2,HR_001,G1,HR_118,,
4,18,153,,6,G1,HR_64,G1,HR_127,,
4,19,154,,7,G2,HR_177,G2,HR_016,,
4,20,155,,8,G2,HR_073,G1,HR_192,,
4,21,156,,9,G2,HR_158,G1,HR_112,,
4,22,157,,10,G2,HR_180,G2,HR_043,,
4,23,158,,11,G2,HR_201,G1,HR_88,,
4,24,159,,12,G2,HR_162,G2,HR_039,,
4,25,160,,13,G1,HR_56,G1,HR_124,,
4,26,161,,14,G2,HR_110,G2,HR_039,,
4,27,162,,15,G2,HR_134,G2,HR_123,,
4,28,163,,16,G1,HR_50,G2,HR_164,,
4,29,164,,17,G1,HR_38,G1,HR_23,,
4,30,165,,18,G2,HR_107,G1,HR_181,,
4,31,166,,19,G1,HR_50,G2,HR_062,,
4,32,167,,20,G1,HR_7,G1,HR_42,,
4,33,168,,21,G1,HR_18,G1,HR_5,,
4,34,169,Tray 9,1,G2,HR_009,G2,HR_033,,
4,35,170,,2,G2,HR_181,G1,HR_182,,
4,36,171,,3,G2,HR_083,G2,HR_115,,
4,37,172,,4,G1,HR_16,G2,HR_114,,
4,38,173,,5,G2,HR_070,G2,HR_113,,
4,39,174,,6,G1,HR_43,G1,HR_21,,
4,40,175,,7,G2,HR_017,G2,HR_149,,
4,41,176,,8,G2,HR_079,G2,HR_142,,
4,42,177,,9,G2,HR_085,G2,HR_025,,
4,43,178,,10,G2,HR_004,G1,HR_28,,
4,44,179,,11,G2,HR_124,G2,HR_181,,
4,45,180,,12,G2,HR_180,G1,HR_65,,
5,1,181,,13,G2,HR_118,G1,HR_196,,
5,2,182,,14,G1,HR_112,G1,HR_201,,
5,3,183,,15,G1,HR_59,G1,HR_146,,
5,4,184,,16,G2,HR_071,G2,HR_145,,
5,5,185,,17,G1,HR_44,G1,HR_78,,
5,6,186,,18,G1,HR_153,G1,HR_54,,
5,7,187,,19,G1,HR_139,G1,HR_126,,
5,8,188,,20,G1,HR_34,G1,HR_61,,
5,9,189,,21,G1,HR_53,G1,HR_28,,
5,10,190,Tray 10,1,G2,HR_011,G1,HR_197,,
5,11,191,,2,G1,HR_170,G1,HR_73,,
5,12,192,,3,G2,HR_061,G2,HR_127,,
5,13,193,,4,G1,HR_173,G1,HR_79,,
5,14,194,,5,G2,HR_159,G1,HR_137,,
5,15,195,,6,G1,HR_173,G2,HR_057,,
5,16,196,,7,G1,HR_141,G1,HR_12,,
5,17,197,,8,G1,HR_110,G2,HR_042,,
5,18,198,,9,G2,HR_103,G1,HR_85,,
5,19,199,,10,G1,HR_155,G2,HR_042,,
5,20,200,,11,G1,HR_40,G2,HR_165,,
5,21,201,,12,G2,HR_192,G1,HR_179,,
5,22,202,,13,G2,HR_109,G1,HR_141,,
5,23,203,,14,G2,HR_108,G1,HR_37,,
5,24,204,,15,G1,HR_101,G2,HR_004,,
5,25,205,,16,G2,HR_124,G2,HR_184,,
5,26,206,,17,G1,HR_92,G2,HR_168,,
5,27,207,,18,G2,HR_150,G1,HR_40,,
5,28,208,,19,G1,HR_61,G2,HR_035,,
5,29,209,,20,G2,HR_054,G1,HR_114,,
5,30,210,,21,G1,HR_184,G2,HR_033,,
5,31,211,Tray 11,1,G1,HR_57,G2,HR_129,,
5,32,212,,2,G2,HR_133,G1,HR_165,,
5,33,213,,3,G2,HR_147,G2,HR_043,,
5,34,214,,4,G2,HR_115,G1,HR_155,,
5,35,215,,5,G2,HR_105,G2,HR_109,,
5,36,216,,6,G2,HR_032,G2,HR_150,,
5,37,217,,7,G2,HR_018,G1,HR_51,,
