Transect,Segment,side,Gen (G1 = —; G2 = X),Recipient,Plant_ID,Fitness (y/n),Skeleton Weights (mg),Notes (complete or incomplete),Chosen for Pulverization? >1.09mg (y/n) 
1,1,L,G2,HR_027,4,y,13.27,c,y
1,1,R,G1,HR_010,4,n,,i,y
1,2,L,G1,HR_051,5,y,58.64,c,y
1,2,R,G2,HR_044,2,y,9.65,c,y
1,3,L,G2,HR_178,4,y,25.51,c,y
1,3,R,G2,HR_108,1,y,10.76,c,y
1,4,L,G1,HR_036,4,y,,i,y
1,4,R,G2,HR_121,3,y,6.19,c,y
1,5,L,G1,HR_162,2,y,,i,n
1,5,R,G1,HR_134,4,y,17.82,c,y
1,6,L,G2,HR_041,1,y,4.33,i,y
1,6,R,G2,HR_124,3,y,34.95,c,y
1,7,L,G1,HR_162,2,n,,i,n
1,7,R,G1,HR_179,3,y,6.13,c,y
1,8,L,G1,HR_196,3,y,6.5,c,y
1,8,R,G1,HR_005,1,y,7.9,c,y
1,9,L,G1,HR_095,4,y,11.57,c,y
1,9,R,G2,HR_196,1,y,,i,y
1,10,L,G1,HR_019,5,y,18.09,c,y
1,10,R,G2,HR_111,4,y,11.13,c,y
1,11,L,G1,HR_047,4,n,3.87,c,y
1,11,R,G1,HR_095,1,y,2.87,c,y
1,12,L,G1,HR_111,4,y,1.5,c,y
1,12,R,G1,HR_042,2,y,13,c,y
1,13,L,G2,HR_086,4,y,5.33,i,y
1,13,R,G2,HR_111,1,y,21.91,c,y
1,14,L,G2,HR_174,1,y,3.73,c,y
,14,R,G1,HR_105,1,y,4.96,c,y
1,15,L,G2,HR_044,3,y,7.09,c,y
1,15,R,G2,HR_107,5,n,3.77,c,y
1,16,L,G1,HR_104,1,y,2.52,i,y
1,16,R,G2,HR_012,4,y,2.79,i,y
1,17,L,G2,HR_156,3,y,29.5,c,y
1,17,R,G2,HR_050,2,y,1.67,c,y
1,18,L,G1,HR_071,5,y,5.07,c,y
1,18,R,G1,HR_137,4,y,12.51,c,y
1,19,L,G2,HR_110,5,y,2.91,c,y
1,19,R,G1,HR_087,1,y,,i,y
1,20,L,G1,HR_047,1,y,3.21,c,y
1,20,R,G2,HR_070,3,y,2.93,c,y
1,21,L,G1,HR_177,2,y,0.84,i,n
1,21,R,G2,HR_061,3,y,2.94,c,y
1,22,L,G1,HR_047,3,y,6.02,i,y
1,22,R,G1,HR_058,4,y,1.79,c,y
1,23,L,G2,HR_169,5,y,7.41,c,y
1,23,R,G2,HR_032,5,y,6.86,c,y
1,24,R,G2,HR_121,2,n,1.61,c,y
1,25,L,G2,HR_118,5,y,28.65,c,y
1,25,R,G2,HR_020,5,y,3.38,c,y
1,26,L,G1,HR_135,4,y,5.58,c,y
1,26,R,G2,HR_062,2,y,,i,y
1,27,L,G1,HR_111,5,y,2.08,c,y
1,27,R,G1,HR_070,2,y,22.4,c,y
1,28,L,G1,HR_183,3,y,,i,n
1,28,R,G2,HR_028,4,y,,i,y
1,29,L,G1,HR_136,1,y,5.77,c,y
1,29,R,G1,HR_131,1,y,2.88,i,y
1,30,L,G1,HR_119,3,y,5.54,c,y
1,30,R,G2,HR_072,1,y,5.89,c,y
1,31,L,G2,HR_044,4,y,,i,n
1,31,R,G2,HR_166,1,y,4.49,c,y
1,32,L,G1,HR_158,1,y,3.81,c,y
1,32,R,G1,HR_111,5,y,10.06,c,y
1,33,L,G2,HR_179,3,n,7.61,c,y
1,33,R,G1,HR_178,1,y,4.05,c,y
1,34,L,G2,HR_137,4,y,12.64,c,y
1,34,R,G1,HR_068,5,y,,i,y
1,35,L,G2,HR_005,5,y,1.64,c,y
1,35,R,G2,HR_127,3,y,11.8,c,y
1,36,L,G2,HR_038,5,y,4.22,c,y
1,36,R,G2,HR_005,3,y,2.98,c,y
1,37,L,G2,HR_109,4,y,0.73,c,n
1,37,R,G1,HR_147,4,n,,i,y
1,38,L,G1,HR_197,3,y,1.54,c,y
1,38,R,G2,HR_168,1,y,9.87,c,y
1,39,L,G1,HR_156,2,y,21.88,c,y
1,39,R,G1,HR_158,5,y,2.3,c,y
1,40,L,G1,HR_065,3,y,,i,y
1,40,R,G1,HR_115,3,y,,i,y
1,41,R,G1,HR_033,2,y,,i,y
1,42,L,G2,HR_184,4,y,43.71,c,y
1,42,R,G1,HR_135,4,y,14.57,c,y
1,43,L,G1,HR_178,4,y,4.11,c,y
1,43,R,G1,HR_116,4,y,1.54,c,y
1,44,L,G2,HR_101,3,y,5.65,c,y
1,44,R,G1,HR_018,5,y,3.03,i,y
1,45,L,G2,HR_037,3,n,,i,y
1,45,R,G1,HR_071,4,y,,i,y
2,1,L,G1,HR_059,3,y,84.6,c,y
2,1,R,G2,HR_139,5,y,63.67,c,y
2,2,L,G1,HR_114,5,y,10.85,c,y
2,2,R,G2,HR_053,3,y,6.81,c,y
2,3,L,G2,HR_146,1,y,83.7,c,y
2,3,R,G1,HR_182,1,y,26.38,c,y
2,4,L,G1,HR_156,2,y,15.2,c,y
